2013-04-28 15:52:44 - INFO --> Blackjack Constructed called with id: ; '14'
2013-04-28 15:52:44 - INFO --> Blackjack Constructed called with id: ; '15'
2013-04-28 15:52:44 - INFO --> Blackjack Constructed called with id: ; '30'
2013-04-28 15:52:44 - INFO --> Blackjack Constructed called with id: ; '120'
2013-04-28 15:52:46 - INFO --> Blackjack Constructed called with id: ; NULL
2013-04-28 15:52:48 - INFO --> Blackjack Constructed called with id: ; NULL
2013-04-28 15:53:00 - INFO --> createANewGame in GameController 
2013-04-28 15:53:12 - INFO --> Blackjack Constructed called with id: ; '1'
2013-04-28 15:53:12 - INFO --> Blackjack Constructed called with id: ; '2'
2013-04-28 15:53:12 - INFO --> Blackjack Constructed called with id: ; '3'
2013-04-28 15:53:12 - INFO --> Blackjack Constructed called with id: ; '4'
2013-04-28 15:53:12 - INFO --> Blackjack Constructed called with id: ; '5'
2013-04-28 15:53:12 - INFO --> Blackjack Constructed called with id: ; '6'
2013-04-28 15:53:12 - INFO --> Blackjack Constructed called with id: ; '7'
2013-04-28 15:53:12 - INFO --> Blackjack Constructed called with id: ; '8'
2013-04-28 15:53:12 - INFO --> Blackjack Constructed called with id: ; '9'
2013-04-28 15:53:12 - INFO --> Blackjack Constructed called with id: ; '10'
2013-04-28 15:53:12 - INFO --> Blackjack Constructed called with id: ; '11'
2013-04-28 15:53:12 - INFO --> Blackjack Constructed called with id: ; '12'
2013-04-28 15:53:12 - INFO --> Blackjack Constructed called with id: ; '13'
2013-04-28 15:53:12 - INFO --> Blackjack Constructed called with id: ; '14'
2013-04-28 15:53:12 - INFO --> Blackjack Constructed called with id: ; '15'
2013-04-28 15:53:12 - INFO --> Blackjack Constructed called with id: ; '30'
2013-04-28 15:53:13 - INFO --> Blackjack Constructed called with id: ; '121'
2013-04-28 15:53:15 - INFO --> Blackjack Constructed called with id: ; NULL
2013-04-28 15:53:17 - INFO --> Blackjack Constructed called with id: ; NULL
2013-04-28 15:53:29 - INFO --> createANewGame in GameController 
2013-04-28 16:04:29 - INFO --> Blackjack Constructed called with id: ; '1'
2013-04-28 16:04:29 - INFO --> Blackjack Constructed called with id: ; '2'
2013-04-28 16:04:29 - INFO --> Blackjack Constructed called with id: ; '3'
2013-04-28 16:04:29 - INFO --> Blackjack Constructed called with id: ; '4'
2013-04-28 16:04:29 - INFO --> Blackjack Constructed called with id: ; '5'
2013-04-28 16:04:29 - INFO --> Blackjack Constructed called with id: ; '6'
2013-04-28 16:04:29 - INFO --> Blackjack Constructed called with id: ; '7'
2013-04-28 16:04:29 - INFO --> Blackjack Constructed called with id: ; '8'
2013-04-28 16:04:29 - INFO --> Blackjack Constructed called with id: ; '9'
2013-04-28 16:04:29 - INFO --> Blackjack Constructed called with id: ; '10'
2013-04-28 16:04:29 - INFO --> Blackjack Constructed called with id: ; '11'
2013-04-28 16:04:29 - INFO --> Blackjack Constructed called with id: ; '12'
2013-04-28 16:04:29 - INFO --> Blackjack Constructed called with id: ; '13'
2013-04-28 16:04:29 - INFO --> Blackjack Constructed called with id: ; '14'
2013-04-28 16:04:29 - INFO --> Blackjack Constructed called with id: ; '15'
2013-04-28 16:04:29 - INFO --> Blackjack Constructed called with id: ; '30'
2013-04-28 16:04:29 - INFO --> Blackjack Constructed called with id: ; '122'
