2013-04-27 10:47:07 - INFO --> Blackjack Constructed called with id: ; '1'
2013-04-27 10:47:07 - INFO --> Blackjack Constructed called with id: ; '2'
2013-04-27 10:47:07 - INFO --> Blackjack Constructed called with id: ; '3'
2013-04-27 10:47:07 - INFO --> Blackjack Constructed called with id: ; '4'
2013-04-27 10:47:07 - INFO --> Blackjack Constructed called with id: ; '5'
2013-04-27 10:47:07 - INFO --> Blackjack Constructed called with id: ; '6'
2013-04-27 10:47:07 - INFO --> Blackjack Constructed called with id: ; '7'
2013-04-27 10:47:07 - INFO --> Blackjack Constructed called with id: ; '8'
2013-04-27 10:47:07 - INFO --> Blackjack Constructed called with id: ; '9'
2013-04-27 10:47:07 - INFO --> Blackjack Constructed called with id: ; '10'
2013-04-27 10:47:07 - INFO --> Blackjack Constructed called with id: ; '11'
2013-04-27 10:47:07 - INFO --> Blackjack Constructed called with id: ; '12'
2013-04-27 10:47:07 - INFO --> Blackjack Constructed called with id: ; '13'
2013-04-27 10:47:07 - INFO --> Blackjack Constructed called with id: ; '14'
2013-04-27 10:47:07 - INFO --> Blackjack Constructed called with id: ; '15'
2013-04-27 10:47:07 - INFO --> Blackjack Constructed called with id: ; '30'
2013-04-27 10:47:07 - INFO --> Blackjack Constructed called with id: ; '105'
2013-04-27 10:47:09 - INFO --> Blackjack Constructed called with id: ; NULL
2013-04-27 10:47:11 - INFO --> Blackjack Constructed called with id: ; NULL
2013-04-27 10:47:13 - INFO --> createANewGame in GameController 
2013-04-27 10:47:59 - INFO --> Blackjack Constructed called with id: ; '1'
2013-04-27 10:47:59 - INFO --> Blackjack Constructed called with id: ; '2'
2013-04-27 10:47:59 - INFO --> Blackjack Constructed called with id: ; '3'
2013-04-27 10:47:59 - INFO --> Blackjack Constructed called with id: ; '4'
2013-04-27 10:47:59 - INFO --> Blackjack Constructed called with id: ; '5'
2013-04-27 10:47:59 - INFO --> Blackjack Constructed called with id: ; '6'
2013-04-27 10:47:59 - INFO --> Blackjack Constructed called with id: ; '7'
2013-04-27 10:47:59 - INFO --> Blackjack Constructed called with id: ; '8'
2013-04-27 10:47:59 - INFO --> Blackjack Constructed called with id: ; '9'
2013-04-27 10:47:59 - INFO --> Blackjack Constructed called with id: ; '10'
2013-04-27 10:47:59 - INFO --> Blackjack Constructed called with id: ; '11'
2013-04-27 10:47:59 - INFO --> Blackjack Constructed called with id: ; '12'
2013-04-27 10:47:59 - INFO --> Blackjack Constructed called with id: ; '13'
2013-04-27 10:47:59 - INFO --> Blackjack Constructed called with id: ; '14'
2013-04-27 10:47:59 - INFO --> Blackjack Constructed called with id: ; '15'
2013-04-27 10:47:59 - INFO --> Blackjack Constructed called with id: ; '30'
2013-04-27 10:47:59 - INFO --> Blackjack Constructed called with id: ; '106'
2013-04-27 10:48:01 - INFO --> Blackjack Constructed called with id: ; NULL
2013-04-27 10:48:03 - INFO --> Blackjack Constructed called with id: ; NULL
2013-04-27 10:48:05 - INFO --> createANewGame in GameController 
2013-04-27 10:51:41 - INFO --> Blackjack Constructed called with id: ; '1'
2013-04-27 10:51:41 - INFO --> Blackjack Constructed called with id: ; '2'
2013-04-27 10:51:41 - INFO --> Blackjack Constructed called with id: ; '3'
2013-04-27 10:51:41 - INFO --> Blackjack Constructed called with id: ; '4'
2013-04-27 10:51:41 - INFO --> Blackjack Constructed called with id: ; '5'
2013-04-27 10:51:41 - INFO --> Blackjack Constructed called with id: ; '6'
2013-04-27 10:51:41 - INFO --> Blackjack Constructed called with id: ; '7'
2013-04-27 10:51:41 - INFO --> Blackjack Constructed called with id: ; '8'
2013-04-27 10:51:41 - INFO --> Blackjack Constructed called with id: ; '9'
2013-04-27 10:51:41 - INFO --> Blackjack Constructed called with id: ; '10'
2013-04-27 10:51:41 - INFO --> Blackjack Constructed called with id: ; '11'
2013-04-27 10:51:41 - INFO --> Blackjack Constructed called with id: ; '12'
2013-04-27 10:51:41 - INFO --> Blackjack Constructed called with id: ; '13'
2013-04-27 10:51:41 - INFO --> Blackjack Constructed called with id: ; '14'
2013-04-27 10:51:41 - INFO --> Blackjack Constructed called with id: ; '15'
2013-04-27 10:51:41 - INFO --> Blackjack Constructed called with id: ; '30'
2013-04-27 10:51:41 - INFO --> Blackjack Constructed called with id: ; '107'
2013-04-27 10:51:43 - INFO --> Blackjack Constructed called with id: ; NULL
2013-04-27 10:51:45 - INFO --> Blackjack Constructed called with id: ; NULL
2013-04-27 10:51:47 - INFO --> createANewGame in GameController 
2013-04-27 11:05:34 - INFO --> Blackjack Constructed called with id: ; '1'
