2013-04-29 17:28:55 - INFO --> Blackjack Constructed called with id: ; '1'
2013-04-29 17:28:55 - INFO --> Blackjack Constructed called with id: ; '2'
2013-04-29 17:28:55 - INFO --> Blackjack Constructed called with id: ; '3'
2013-04-29 17:28:55 - INFO --> Blackjack Constructed called with id: ; '4'
2013-04-29 17:28:55 - INFO --> Blackjack Constructed called with id: ; '5'
2013-04-29 17:28:55 - INFO --> Blackjack Constructed called with id: ; '6'
2013-04-29 17:28:55 - INFO --> Blackjack Constructed called with id: ; '7'
2013-04-29 17:28:55 - INFO --> Blackjack Constructed called with id: ; '8'
2013-04-29 17:28:55 - INFO --> Blackjack Constructed called with id: ; '9'
2013-04-29 17:28:55 - INFO --> Blackjack Constructed called with id: ; '10'
2013-04-29 17:28:55 - INFO --> Blackjack Constructed called with id: ; '11'
2013-04-29 17:28:55 - INFO --> Blackjack Constructed called with id: ; '12'
2013-04-29 17:28:55 - INFO --> Blackjack Constructed called with id: ; '13'
2013-04-29 17:28:55 - INFO --> Blackjack Constructed called with id: ; '14'
2013-04-29 17:28:55 - INFO --> Blackjack Constructed called with id: ; '15'
2013-04-29 17:28:55 - INFO --> Blackjack Constructed called with id: ; '30'
2013-04-29 17:28:55 - INFO --> Blackjack Constructed called with id: ; '144'
2013-04-29 17:28:57 - INFO --> Blackjack Constructed called with id: ; NULL
2013-04-29 17:28:59 - INFO --> Blackjack Constructed called with id: ; NULL
2013-04-29 17:29:01 - INFO --> createANewGame in GameController 
2013-04-29 17:29:30 - INFO --> Blackjack Constructed called with id: ; '1'
2013-04-29 17:29:30 - INFO --> Blackjack Constructed called with id: ; '2'
2013-04-29 17:29:30 - INFO --> Blackjack Constructed called with id: ; '3'
2013-04-29 17:29:30 - INFO --> Blackjack Constructed called with id: ; '4'
2013-04-29 17:29:30 - INFO --> Blackjack Constructed called with id: ; '5'
2013-04-29 17:29:30 - INFO --> Blackjack Constructed called with id: ; '6'
2013-04-29 17:29:30 - INFO --> Blackjack Constructed called with id: ; '7'
2013-04-29 17:29:30 - INFO --> Blackjack Constructed called with id: ; '8'
2013-04-29 17:29:30 - INFO --> Blackjack Constructed called with id: ; '9'
2013-04-29 17:29:30 - INFO --> Blackjack Constructed called with id: ; '10'
2013-04-29 17:29:30 - INFO --> Blackjack Constructed called with id: ; '11'
2013-04-29 17:29:30 - INFO --> Blackjack Constructed called with id: ; '12'
2013-04-29 17:29:30 - INFO --> Blackjack Constructed called with id: ; '13'
2013-04-29 17:29:30 - INFO --> Blackjack Constructed called with id: ; '14'
2013-04-29 17:29:30 - INFO --> Blackjack Constructed called with id: ; '15'
2013-04-29 17:29:30 - INFO --> Blackjack Constructed called with id: ; '30'
2013-04-29 17:29:30 - INFO --> Blackjack Constructed called with id: ; '145'
2013-04-29 17:29:32 - INFO --> Blackjack Constructed called with id: ; '1'
